編號,_名稱,_坐標84X,_坐標84Y,_可停車位,_可借車數,_地址,
_&_1,_臺北轉運站,_121.520523071289,_25.0482215881348,_37,_31,_中山北路一段/市民大道一段(西北側),
_&_2,_捷運臺大醫院(4號出口),_121.516426086426,_25.0429725646973,_17,_30,_公園路/襄陽路(西南側),
_&_3,_捷運善導寺站(1號出口),_121.522201538086,_25.0452671051025,_24,_24,_天津街/忠孝東路一段(東北側),
_&_4,_捷運中山站(4號出口),_121.520286560059,_25.0530815124512,_13,_17,_南京西路/南京西路25巷(東北側),
_&_5,_圓環站,_121.514549255371,_25.0538845062256,_25,_11,_南京西路/重慶北路一段(東南側),
_&_6,_市民林森路口,_121.524391174316,_25.0479583740234,_29,_20,_市民大道二段/林森北路(東北側),
_&_7,_永樂市場,_121.510551452637,_25.054500579834,_30,_0,_民樂街/南京西路233巷(西北側),
_&_8,_林森公園,_121.525802612305,_25.0522270202637,_22,_10,_林森北路/南京東路一段,
_&_9,_開封西寧路口,_121.507171630859,_25.0466175079346,_28,_14,_開封街二段/西寧南路(東北側),
_&_10,_國家圖書館,_121.517028808594,_25.0377731323242,_13,_37,_中山南路/貴陽街口(西南側),
_&_11,_捷運西門站(3號出口),_121.508689880371,_25.0417785644531,_30,_29,_中華路一段/寶慶路(東南側),
_&_12,_仁愛林森路口,_121.522331237793,_25.0389537811279,_18,_23,_林森南路/仁愛路一段路口(東北側),
_&_13,_捷運雙連站(2號出口),_121.520713806152,_25.0578651428223,_18,_24,_民生西路/萬全街(東北側),
_&_14,_蔣渭水紀念公園,_121.516296386719,_25.0598850250244,_26,_13,_錦西街51號對面,
_&_15,_峨嵋停車場,_121.505409240723,_25.044412612915,_27,_15,_昆明街/西寧南路50巷(東南側),
_&_16,_華山文創園區,_121.52848815918,_25.0436687469482,_17,_33,_忠孝東路二段41號前,
_&_17,_新生長安路口,_121.529342651367,_25.0486106872559,_15,_27,_新生北路一段/長安東路二段交叉口(北側),
_&_18,_臺北市立大學,_121.514221191406,_25.0354137420654,_29,_53,_愛國西路/公園路(西北側),
_&_19,_新生長春路口,_121.527519226074,_25.0563869476318,_15,_20,_新生北路二段/新生北路二段68巷交叉口(新生橋下),
_&_20,_捷運民權西路站(3號出口),_121.520202636719,_25.0612850189209,_26,_24,_民權西路70巷37號對面,
_&_21,_捷運小南門站(1號出口),_121.509422302246,_25.0364017486572,_27,_27,_博愛路/愛國西路交叉口(西北側),
_&_22,_金山市民路口,_121.530700683594,_25.0457534790039,_20,_19,_金山北路/市民大道三段(南側),
_&_23,_信義杭州路口(中華電信總公司),_121.523986816406,_25.0358505249023,_8,_41,_信義路一段/杭州南路一段(西北側),
_&_24,_捷運大橋頭站(2號出口),_121.512908935547,_25.063404083252,_46,_0,_民權西路/重慶北路三段(東北側),
_&_25,_羅斯福寧波東街口,_121.519409179688,_25.0314445495605,_11,_14,_羅斯福路一段/寧波東街(東南側),
_&_26,_捷運松江南京站(7號出口),_121.533210754395,_25.0521812438965,_16,_40,_松江路/南京東路二段(東北側),
_&_27,_捷運忠孝新生(3號出口),_121.53385925293,_25.0419235229492,_13,_27,_捷運忠孝新生(3號出口),
_&_28,_捷運中山國小站(4號出口),_121.527717590332,_25.0629234313965,_36,_34,_民權東路一段/新生北路三段(北側)(新生高架橋下),
_&_29,_老松國小,_121.501708984375,_25.0377826690674,_23,_21,_康定路/桂林路(東南側),
_&_30,_樹德公園,_121.516151428223,_25.0666885375977,_38,_2,_大龍街/大龍街85巷(東北側),
_&_31,_捷運東門站(4號出口),_121.529167175293,_25.0337009429932,_20,_25,_信義路/麗水街口,
_&_32,_金山愛國路口,_121.526550292969,_25.0316390991211,_28,_26,_愛國東路/金山南路(西南側),
_&_33,_捷運行天宮站(1號出口),_121.532936096191,_25.0583686828613,_17,_15,_捷運行天宮1號出口後方(松江路側),
_&_34,_植物園,_121.509811401367,_25.0300159454346,_23,_21,_和平西路二段100號前,
_&_35,_信義連雲街口,_121.530548095703,_25.0338172912598,_32,_8,_信義路二段/連雲街(東北側),
_&_36,_八德市場,_121.536605834961,_25.0447807312012,_15,_11,_建國南路一段/市民大道交叉口(北側) ,
_&_37,_捷運行天宮站(3號出口),_121.533302307129,_25.0599784851074,_29,_1,_捷運行天宮站3號出口站外,
_&_38,_和平重慶路口,_121.516387939453,_25.027322769165,_44,_0,_重慶南路三段/和平西路一段(東北側),
_&_39,_華西公園,_121.498497009277,_25.0386085510254,_28,_2,_華西街/桂林路(東北側),
